t(s),Z(K/W)
1.02239E-06,0.007792612
1.48962E-06,0.010362726
2.17039E-06,0.014537034
3.23307E-06,0.020759399
4.81607E-06,0.028863457
8.19335E-06,0.042334318
1.48963E-05,0.062647735
2.37137E-05,0.081838851
3.85957E-05,0.104089819
6.00961E-05,0.130052883
0.000102239,0.176054836
0.0001664,0.229986373
0.000270827,0.28735186
0.000431137,0.34955887
0.000642232,0.414019911
0.001000001,0.499182245
0.001701255,0.601862151
0.003025305,0.725662926
0.005379833,0.829396307
0.009152464,0.898624679
0.014896244,0.947958163
0.024787361,1.008947343
0.048160592,1.027082701
0.198644562,1.027082701
0.935737099,1.036272363
