t(s),Z(K/W)
1.02005E-06,0.00242508
1.2944E-06,0.002988851
2.12611E-06,0.004495081
3.49223E-06,0.006627129
4.99201E-06,0.008499526
6.72336E-06,0.010580244
1.0405E-05,0.013842368
1.51717E-05,0.017231028
1.88739E-05,0.021449245
2.8635E-05,0.025657941
4.70342E-05,0.034243812
7.57373E-05,0.043918874
0.00011721,0.058615369
0.000192523,0.080600939
0.00030392,0.10650684
0.000529832,0.150894844
0.001104341,0.218080433
0.00254198,0.305907906
0.009055169,0.43773402
0.019252294,0.508220173
0.045203537,0.550343701
0.098034584,0.555848963
0.192523178,0.555848963
0.385662042,0.550343701
0.788046282,0.550343701
