t(s),Zth(C/W)
9.7746E-06,0.002441406
1.27529E-05,0.004394502
1.60184E-05,0.005371049
2.23787E-05,0.00585936
3.19853E-05,0.009765626
5.36257E-05,0.014648438
8.99074E-05,0.01904294
0.0001879,0.036621096
0.000361207,0.063476566
0.000536257,0.084472602
0.000802214,0.108886666
0.001237112,0.136718758
0.001879002,0.170898448
0.002565905,0.197265607
0.003347743,0.221679671
0.004434705,0.248535141
0.005655554,0.269042977
0.007322952,0.293457041
0.010546348,0.326171872
0.015657382,0.358398429
0.023601373,0.392089845
0.034773932,0.424804676
0.051235481,0.449707051
0.087880787,0.474121115
0.199677746,0.494628913
0.420496705,0.501464859
0.970060636,0.500976585
