Zth,t
1.02325E-06,0.001
2.23572E-06,0.002010857
3.40758E-06,0.003010706
4.88486E-06,0.004192698
7.27607E-06,0.005869026
1.02718E-05,0.007523755
1.51832E-05,0.009897837
2.47938E-05,0.013431639
4.27185E-05,0.019698218
6.61149E-05,0.025383012
0.000110474,0.03287809
0.000176302,0.043252568
0.000315623,0.058694934
0.000535532,0.0792396
0.000901727,0.108648997
0.001506734,0.14592173
0.002556546,0.198019833
0.004239238,0.256490999
0.007138014,0.322071399
0.012298439,0.380070963
0.025663609,0.42151212
0.051936661,0.428106618
0.113477224,0.432560054
0.312015361,0.430327575
1,0.428106618
