t(s),Zth(C/W)
3.90841E-06,0.01
5.31292E-06,0.01232847
7.40173E-06,0.01650833
9.81749E-06,0.02024045
1.43659E-05,0.02536916
2.15443E-05,0.031797454
3.43558E-05,0.039635664
5.68417E-05,0.049134621
9.28967E-05,0.064714982
0.000132638,0.081561061
0.00018253,0.10055239
0.000248123,0.122607424
0.000345674,0.153674871
0.000558042,0.208056748
0.000806616,0.260776166
0.001286274,0.325058612
0.002527358,0.414214095
0.004501252,0.491346105
0.007539337,0.579639341
0.013263765,0.647149686
0.028054368,0.706776695
0.057898436,0.742699888
0.120966977,0.75507565
0.252735838,0.75507565
