t(s),Zth(C/W)
1.01E-05,0.004322194
2.03E-05,0.006090385
4.01E-05,0.009823182
6.14E-05,0.012573691
0.00010154,0.018664047
0.00018952,0.026719068
0.000307491,0.03477406
0.000409524,0.040667969
0.000619492,0.048526515
0.001011529,0.061493128
0.001986641,0.082121811
0.003024418,0.095677776
0.004079619,0.105697449
0.005130708,0.114734774
0.007099322,0.12573675
0.01001275,0.138899808
0.020561438,0.163457764
0.030709929,0.176227902
0.050786995,0.187229863
0.080328098,0.194695487
0.157764488,0.199607079
0.363318714,0.200589397
1,0.200392936
